y=662, x=546..550
y=250, x=525..527
x=476, y=212..215
x=543, y=633..642
x=589, y=509..537
y=1397, x=476..495
x=398, y=1869..1882
x=408, y=1822..1836
x=444, y=118..127
x=616, y=624..637
y=1583, x=536..547
y=1178, x=405..407
y=674, x=588..590
x=523, y=1475..1485
y=634, x=606..610
y=621, x=597..610
x=646, y=1454..1455
x=550, y=701..703
y=819, x=590..592
x=586, y=449..462
x=404, y=1088..1102
y=1843, x=539..541
y=1331, x=524..534
y=921, x=405..411
y=1367, x=497..514
y=415, x=530..535
y=40, x=645..648
x=467, y=134..143
x=455, y=483..487
y=1499, x=474..498
x=607, y=842..844
x=642, y=1419..1424
x=588, y=1339..1346
y=720, x=441..466
x=385, y=1031..1044
x=442, y=1121..1135
y=868, x=590..607
y=1320, x=646..648
x=524, y=1671..1695
x=531, y=392..397
y=1360, x=662..667
x=421, y=1294..1303
y=57, x=538..556
x=454, y=949..959
x=548, y=1834..1846
x=612, y=897..909
y=580, x=598..620
x=386, y=1084..1089
y=1251, x=496..511
x=495, y=833..841
x=574, y=1222..1227
x=537, y=1100..1108
y=54, x=612..616
x=423, y=1511..1526
x=569, y=796..803
x=468, y=328..350
y=312, x=432..436
x=469, y=524..537
x=612, y=1707..1710
x=460, y=713..717
x=506, y=1397..1407
x=515, y=933..934
x=577, y=669..678
x=649, y=1341..1360
x=458, y=760..765
x=542, y=333..335
y=1285, x=538..540
x=587, y=1549..1570
x=604, y=1524..1530
x=418, y=1295..1303
y=1799, x=582..590
x=476, y=466..478
x=543, y=1062..1065
y=18, x=508..510
x=443, y=420..428
y=844, x=605..607
x=470, y=1139..1153
y=869, x=536..543
y=1044, x=385..404
y=1156, x=389..417
x=532, y=812..815
x=436, y=1593..1607
x=518, y=730..733
x=522, y=366..379
y=685, x=556..559
x=616, y=1658..1670
x=645, y=240..252
x=387, y=337..353
x=473, y=1762..1780
x=438, y=119..127
y=1312, x=551..572
y=1607, x=420..436
x=536, y=1983..1994
x=630, y=813..816
x=622, y=1900..1905
x=389, y=631..651
y=1573, x=479..483
x=594, y=1310..1312
y=1530, x=599..604
x=634, y=602..604
x=438, y=529..531
x=609, y=667..674
y=1513, x=591..612
x=463, y=1140..1153
x=430, y=115..129
y=1446, x=523..541
x=575, y=1048..1058
y=420, x=461..488
y=265, x=485..511
y=1112, x=493..511
y=1801, x=483..493
x=575, y=1070..1083
x=600, y=668..678
x=542, y=698..708
x=421, y=1888..1895
x=487, y=400..404
x=664, y=1261..1263
x=668, y=1214..1219
y=989, x=620..623
y=1653, x=473..493
y=459, x=469..493
y=500, x=591..610
x=649, y=768..779
x=598, y=1078..1080
y=462, x=558..586
x=670, y=1173..1187
x=643, y=1131..1145
x=539, y=1378..1385
x=598, y=553..580
y=1142, x=523..527
x=458, y=1124..1133
x=628, y=1387..1403
x=529, y=1223..1231
x=419, y=720..726
y=147, x=574..587
x=571, y=322..336
y=869, x=389..402
x=606, y=630..634
x=422, y=661..687
y=1795, x=537..558
y=1275, x=562..570
x=495, y=1385..1397
y=1104, x=566..624
x=547, y=1577..1583
x=584, y=832..842
x=563, y=1612..1639
x=436, y=294..312
y=1291, x=483..507
x=535, y=200..213
x=572, y=1637..1645
x=587, y=145..147
y=392, x=516..531
x=466, y=761..765
y=404, x=474..487
x=604, y=521..523
x=488, y=793..798
x=572, y=1820..1832
x=626, y=1662..1667
x=509, y=78..80
y=1832, x=570..572
x=627, y=603..604
y=104, x=589..601
x=624, y=771..787
x=584, y=735..747
x=459, y=968..970
x=522, y=1276..1293
x=607, y=1360..1362
x=485, y=1058..1067
x=470, y=849..853
y=717, x=457..460
x=543, y=846..869
x=469, y=627..633
x=583, y=548..562
x=494, y=1286..1288
x=480, y=508..517
y=651, x=389..412
y=473, x=485..488
x=536, y=350..361
x=522, y=263..277
x=478, y=1025..1033
x=646, y=1306..1320
x=436, y=87..102
x=482, y=427..439
x=567, y=549..562
x=448, y=665..678
x=496, y=36..39
x=417, y=1153..1156
x=520, y=1747..1757
x=601, y=78..104
x=446, y=1745..1757
x=391, y=671..695
y=926, x=492..499
x=494, y=763..770
y=1370, x=433..440
x=658, y=994..1008
y=1672, x=426..432
x=644, y=383..393
x=476, y=1259..1270
x=487, y=957..965
x=503, y=690..716
x=553, y=130..155
x=520, y=1682..1696
x=504, y=1996..1997
y=1331, x=502..521
y=1096, x=423..428
